Date,Open,High,Low,Close,Volume,Turnover
2012-05-02,5254.3,5279.6,5226.45,5239.15,119333288,48150800000.0
2012-05-03,5211.2,5217.3,5180.65,5188.4,118573998,54889000000.0
2012-05-04,5166.65,5177.2,5070.6,5086.85,153304687,65075000000.0
2012-05-07,5017.8,5124.75,4988.0,5114.15,168271798,67870800000.0
2012-05-08,5114.7,5119.95,4983.6,4999.95,164262546,62332600000.0
2012-05-09,4967.9,5016.25,4956.45,4974.8,180441209,65587800000.0
2012-05-10,4984.15,5039.3,4950.3,4965.7,141031231,54301400000.0
2012-05-11,4938.85,4976.25,4906.15,4928.9,138526070,50615700000.0
2012-05-14,4934.35,4957.2,4874.5,4907.8,126951751,52919300000.0
2012-05-15,4869.85,4955.2,4868.55,4942.8,142119571,54912400000.0
2012-05-16,4875.3,4882.25,4837.05,4858.25,165048505,63166600000.0
2012-05-17,4878.6,4922.25,4850.2,4870.2,155654031,57455100000.0
2012-05-18,4796.4,4908.5,4788.95,4891.45,154508649,64470800000.0
2012-05-21,4888.5,4937.5,4888.5,4906.05,116506971,45276700000.0
2012-05-22,4954.7,4956.35,4849.9,4860.5,130808278,50743700000.0
2012-05-23,4843.0,4853.75,4803.95,4835.65,136108067,48541500000.0
2012-05-24,4863.4,4931.9,4830.15,4921.4,140474832,50120800000.0
2012-05-25,4905.95,4935.8,4889.35,4920.4,118191157,43980900000.0
2012-05-28,4931.7,4994.95,4931.3,4985.65,97260991,39835300000.0
2012-05-29,5005.35,5020.15,4982.15,4990.1,124219839,49235600000.00001
2012-05-30,4964.25,4982.25,4944.9,4950.75,146005250,53746500000.0
2012-05-31,4896.1,4949.25,4883.55,4924.25,296911390,106620100000.0
2012-06-01,4910.85,4925.0,4831.75,4841.6,138767416,49892200000.0
2012-06-04,4797.3,4858.3,4770.35,4848.15,152339865,51435400000.0
2012-06-05,4869.45,4898.95,4847.7,4863.3,141476962,50164100000.0
2012-06-06,4886.65,5010.45,4886.15,4997.1,185340406,71884200000.0
2012-06-07,5035.35,5059.65,5007.75,5049.65,150558164,60773700000.0
2012-06-08,5044.25,5084.45,4994.8,5068.35,138389395,52498100000.00001
2012-06-11,5096.7,5124.45,5040.7,5054.1,125615102,48138200000.0
2012-06-12,5015.5,5128.9,5015.15,5115.9,135478015,52059000000.0
2012-06-13,5117.55,5144.9,5095.45,5121.45,125668126,52870800000.0
2012-06-14,5105.1,5130.0,5047.6,5054.75,118353366,47518600000.0
2012-06-15,5069.55,5146.2,5069.15,5139.05,155437144,59440000000.0
2012-06-18,5174.0,5190.2,5041.7,5064.25,153461067,60058300000.0
2012-06-19,5050.8,5113.6,5048.1,5103.85,149416155,53362200000.0
2012-06-20,5114.55,5141.7,5100.7,5120.55,160505645,53136000000.0
2012-06-21,5097.35,5170.4,5093.45,5165.0,142992948,55585600000.00001
2012-06-22,5101.75,5159.8,5094.0,5146.05,159747192,55004399999.99999
2012-06-25,5158.5,5194.6,5105.65,5114.65,123503010,48940400000.0
2012-06-26,5107.45,5134.55,5095.5,5120.8,99404566,41196899999.99999
2012-06-27,5149.45,5160.1,5129.25,5141.9,112269218,42386200000.0
2012-06-28,5148.95,5159.05,5125.3,5149.15,143073791,55975200000.00001
2012-06-29,5191.25,5286.25,5189.0,5278.9,226523598,84612400000.0
2012-07-02,5283.85,5302.15,5263.35,5278.6,126161441,49915700000.0
2012-07-03,5298.85,5317.0,5265.95,5287.95,133117055,51618200000.0
2012-07-04,5310.4,5317.65,5273.3,5302.55,155995887,57501000000.0
2012-07-05,5297.05,5333.65,5288.85,5327.3,118915392,47097900000.0
2012-07-06,5324.7,5327.2,5287.75,5316.95,113300726,47605100000.0
2012-07-09,5283.7,5300.6,5257.75,5275.15,101169926,41892500000.0
2012-07-10,5286.6,5348.55,5284.55,5345.35,123947633,50241300000.0
2012-07-11,5315.25,5336.45,5300.25,5306.3,113530679,50869799999.99999
2012-07-12,5240.0,5261.75,5217.7,5235.25,131190833,61935900000.0
2012-07-13,5242.75,5267.15,5216.85,5227.25,99045088,44519000000.0
2012-07-16,5232.35,5246.85,5190.45,5197.25,106313144,42832200000.0
2012-07-17,5228.05,5236.7,5181.7,5192.85,111768115,47192000000.0
2012-07-18,5199.1,5222.85,5169.05,5216.3,109647297,47595200000.00001
2012-07-19,5249.85,5257.75,5233.15,5242.7,109769282,54949900000.0
2012-07-20,5233.55,5238.7,5197.5,5205.1,89729408,45278900000.0
2012-07-23,5163.25,5164.2,5108.1,5117.95,104770324,43942400000.0
2012-07-24,5128.8,5144.0,5103.25,5128.2,116516931,45672000000.0
2012-07-25,5118.4,5121.6,5076.6,5109.6,130965621,46541700000.0
2012-07-26,5126.3,5126.3,5032.4,5043.0,180131639,69202300000.0
2012-07-27,5124.3,5149.95,5077.5,5099.85,131948378,58281200000.0
2012-07-30,5129.75,5206.6,5129.75,5199.8,117523733,52787000000.0
2012-07-31,5214.85,5234.55,5154.05,5229.0,147059808,62546700000.0
2012-08-01,5220.7,5246.35,5212.65,5240.5,113815730,44081899999.99999
2012-08-02,5233.1,5236.9,5209.95,5227.75,92972386,36995900000.0
2012-08-03,5195.6,5220.2,5164.65,5215.7,112918653,42137600000.0
2012-08-06,5260.85,5293.2,5260.85,5282.55,103148076,42715000000.0
2012-08-07,5295.4,5350.1,5281.65,5336.7,130431591,52263300000.0
2012-08-08,5345.25,5377.6,5331.05,5338.0,165954895,60691200000.0
2012-08-09,5348.3,5368.2,5312.1,5322.95,181419777,67632299999.99999
2012-08-10,5308.2,5330.1,5294.1,5320.4,130090985,65407700000.00001
2012-08-13,5316.35,5352.45,5309.05,5347.9,107578773,46783300000.0
2012-08-14,5343.25,5387.05,5328.8,5380.35,109794400,47424700000.0
2012-08-16,5385.95,5390.65,5356.65,5362.95,133996943,52855000000.0
2012-08-17,5368.6,5399.95,5341.7,5366.3,134985473,52623400000.0
